0.000000	«Lily,
0.000000	tu
0.000000	sais
0.000000	que
0.000000	ce
0.000000	n'est
0.000000	pas
0.000000	bien
0.000000	de
0.000000	mentir.
0.000000	Il
0.000000	n'y
0.000000	a
0.000000	personne
0.000000	ici!»,
0.000000	dit
0.000000	Thomas
0.000000	en
0.000000	colère.
0.000000	«Tu
0.000000	ferais
0.000000	mieux
0.000000	de
0.000000	nettoyer
0.000000	tout
0.000000	ça
0.000000	avant
0.000000	que
0.000000	Kookum
0.000000	ne
0.000000	s'aperçoive
0.000000	que
0.000000	tu
0.000000	as
0.000000	gaspillé
0.000000	toute
0.000000	sa
0.000000	farine!»
